unix_time,landmark,meas_d,meas_theta,true_d,true_theta,err_d,err_theta
1764635500.912251,cyan,1.326176777268776,0.0037702453634741763,1.4988459611046165,0.00078243037427983,-0.1726691838358405,0.002987814989194426
1764635500.9739206,cyan,1.3328338774438453,0.0018851293808978522,1.4988662633678629,0.0007898365763949755,-0.1660323859240176,0.0010952928045027122
1764635501.0474172,cyan,1.3261726535662681,0.002827689884355678,1.4988792694792998,0.0007954773278253668,-0.1727066159130317,0.0020322125565304106
1764635501.1819549,cyan,1.326176777268776,0.0037702453634741763,1.498885545099257,0.0007996920539126151,-0.17270876783048106,0.002970553309561641
1764635501.2611554,cyan,1.332833024873001,0.0015081041478423442,1.4988772540901203,0.0008003494683821444,-0.16604422921711937,0.0007077546794600487
1764635501.319468,cyan,1.332834919474137,0.0022621540780187787,1.4988640475957962,0.0007996601526762959,-0.16602912812165926,0.0014624939253424785
1764635501.4023328,cyan,1.3328400585661584,0.003581734749983925,1.4988422073700216,0.0007975058530380608,-0.16600214880386321,0.0027842288969459617
1764635501.584371,cyan,1.3395715740134622,0.003581734749983925,1.4988018365303533,0.0007941217321523197,-0.1592302625168911,0.0027876130178317027
1764635501.64481,cyan,1.3463681762094093,0.002827689884355678,1.4988057706175568,0.0007974636693606207,-0.15243759440814753,0.0020302262149951567
1764635501.7291033,cyan,1.3261702029027034,0.002073641803149233,1.4988209523564087,0.000802591792929519,-0.1726507494537053,0.0012710500102195432
1764635501.795174,cyan,1.3395715740134622,0.003581734749983925,1.4988381617487008,0.0008088019437368921,-0.1592665877352386,0.0027729328062471303
1764635501.9101655,cyan,1.3261726535662681,0.002827689884355678,1.498855747612958,0.0008172298528914546,-0.1726830940466899,0.002010460031464323
1764635501.991998,cyan,1.3328368377550435,0.002827689884355678,1.498854956064985,0.0008186143499022691,-0.16601811830994162,0.0020090755344535083
1764635502.1111236,cyan,1.3328338774438453,0.0018851293808978522,1.4988312121377105,0.0008179094149225463,-0.16599733469386524,0.0010672199659751413
1764635502.1706479,cyan,1.3463674824452934,0.0026391781320198736,1.4988129930218366,0.0008159675896686203,-0.1524455105765432,0.001823210542351461
1764635502.3971708,cyan,1.3261749864052619,0.0033932238819293914,1.4987773160363334,0.000815542252169621,-0.17260232963107147,0.002577681629759798
1764635502.5235646,cyan,1.3261702029027034,0.002073641803149233,1.4988041065491449,0.0008256511082223028,-0.1726339036464415,0.0012479906949267594
1764635502.5786617,cyan,1.3328361509634312,0.0026391781320198736,1.4988151317837668,0.0008302922254084244,-0.16597898082033558,0.001808885906611657
1764635502.6352324,cyan,1.3261741616646725,0.003204712772708168,1.4988226813087433,0.0008335671932657718,-0.1726485196440708,0.002371145579442402
1764635502.7144918,cyan,1.3261713339787573,0.0024506661921081876,1.4988287366190391,0.0008372937556524462,-0.17265740264028184,0.0016133724364557622
1764635502.8019261,cyan,1.332833024873001,0.0015081041478423442,1.4988204530216076,0.0008384545076904892,-0.16598742814860667,0.0006696496401517038
1764635502.868969,cyan,1.3328368377550435,0.002827689884355678,1.498801962621822,0.000837400102750685,-0.1659651248667786,0.0019902897816050924
1764635502.9704967,cyan,1.3328338774438453,0.0018851293808978522,1.4987751946398191,0.0008339019424474792,-0.16594131719597383,0.0010512274384502085
1764635503.049994,cyan,1.3328338774438453,0.0018851293808978522,1.498754907339121,0.0008316512097894524,-0.1659210298952758,0.0010534781711082353
1764635503.228618,cyan,1.3261726535662681,0.002827689884355678,1.4987547668696868,0.0008380109779144718,-0.17258211330341866,0.0019896789064413056
1764635503.2505817,cyan,1.3395715740134622,0.003581734749983925,1.4987598483146893,0.0008397689622148263,-0.15918827430122717,0.002741965787769196
1764635503.260584,cyan,1.3261702029027034,0.002073641803149233,1.4987624009604126,0.0008405457298281682,-0.1725921980577092,0.001233096073320894
1764635503.3223271,cyan,1.3261726535662681,0.002827689884355678,1.4987808839786254,0.0008472437909428088,-0.1726082304123573,0.0019804460934129686
1764635503.526305,cyan,1.3261726535662681,0.002827689884355678,1.49879520131909,0.0008572827928960969,-0.17262254775282182,0.0019704070914596805
1764635503.745075,cyan,1.3328338774438453,0.0018851293808978522,1.4987389794795085,0.0008522161881705514,-0.16590510203566322,0.0010329131927271362
1764635503.7778618,cyan,1.3328368377550435,0.002827689884355678,1.498730601777494,0.0008512774478783847,-0.16589376402245049,0.0019764124364773927
1764635503.8082395,cyan,1.3261749864052619,0.0033932238819293914,1.498726396430331,0.0008508926611754397,-0.17255141002506913,0.0025423312207539794
1764635503.8782651,cyan,1.3328368377550435,0.002827689884355678,1.49871898893095,0.0008519957441159853,-0.16588215117590654,0.001975694140239792
1764635504.0669472,cyan,1.3261758582733276,0.003581734749983925,1.4987532433554625,0.0008661295960741278,-0.17257738508213483,0.0027156051539098947
1764635504.081553,cyan,1.3261726535662681,0.002827689884355678,1.498757055386692,0.0008675534639328575,-0.1725844018204239,0.00196013642042292
1764635504.1412747,cyan,1.3261726535662681,0.002827689884355678,1.498767143892214,0.0008723771515715129,-0.17259449032594598,0.0019553127327842645
1764635504.2035947,cyan,1.3261726535662681,0.002827689884355678,1.4987720840855823,0.0008755094951151676,-0.17259943051931415,0.0019521803892406098
1764635504.27281,cyan,1.332833024873001,0.0015081041478423442,1.4987692867509144,0.0008769718174814756,-0.16593626187791344,0.0006311323303607175
1764635504.4337,cyan,1.3261749864052619,0.0033932238819293914,1.4987282441152758,0.0008741815738781966,-0.17255325771001395,0.0025190423080512225
